"year","title","name","state","where","date"
"2017","Mr","  ADERHOLT",NA,"House","2017-09-06"
"2017","Mr","  COLLINS","Georgia","House","2017-10-24"
"2017","Mr","  ELLISON",NA,"House","2017-09-13"
"2017","Mr","  FARENTHOLD",NA,"House","2017-03-02"
"2017","Mr","  GRAVES",NA,"House","2017-06-26"
"2017","Mr","  HOYER",NA,"House","2017-02-03"
"2017","Mr","  HOYER",NA,"House","2017-03-17"
"2017","Mr","  HOYER",NA,"House","2017-09-28"
"2017","Mr","  JODY B",NA,"House","2017-02-14"
"2017","Mr","  KATKO",NA,"House","2017-10-23"
"2017","Mr","  MCCARTHY",NA,"House","2017-09-28"
"2017","Mr","  MURPHY","Pennsylvania","House","2017-09-12"
"2017","Mr","  ROBERTS",NA,"Senate","2017-08-03"
"2017","Mr","  SANFORD",NA,"House","2017-09-07"
"2017","Mr"," ABRAHAM",NA,"House","2017-01-04"
"2017","Mr"," ABRAHAM",NA,"House","2017-02-02"
"2017","Mr"," ABRAHAM",NA,"House","2017-03-20"
"2017","Mr"," ABRAHAM",NA,"House","2017-03-21"
"2017","Mr"," ABRAHAM",NA,"House","2017-03-24"
"2017","Mr"," ABRAHAM",NA,"House","2017-05-24"
"2017","Mr"," ABRAHAM",NA,"House","2017-06-26"
"2017","Mr"," ABRAHAM",NA,"House","2017-07-17"
"2017","Mr"," ABRAHAM",NA,"House","2017-09-12"
"2017","Mr"," ABRAHAM",NA,"House","2017-09-25"
"2017","Mr"," ABRAHAM",NA,"House","2017-09-26"
"2017","Mr"," ABRAHAM",NA,"House","2017-10-03"
"2017","Mr"," ABRAHAM",NA,"House","2017-10-12"
"2017","Mr"," ABRAHAM",NA,"House","2017-10-25"
"2017","Mr"," ABRAHAM",NA,"House","2017-11-01"
"2017","Mr"," ABRAHAM",NA,"House","2017-11-14"
"2017","Mr"," ABRAHAM",NA,"House","2017-11-15"
"2017","Mr"," ABRAHAM",NA,"House","2017-12-18"
"2017","Mr"," ADERHOLT",NA,"House","2017-01-12"
"2017","Mr"," ADERHOLT",NA,"House","2017-01-24"
"2017","Mr"," ADERHOLT",NA,"House","2017-05-03"
"2017","Mr"," ADERHOLT",NA,"House","2017-07-27"
"2017","Mr"," ADERHOLT",NA,"House","2017-09-06"
"2017","Mr"," ADERHOLT",NA,"House","2017-10-03"
"2017","Mr"," ADERHOLT",NA,"House","2017-10-12"
"2017","Mr"," ADERHOLT",NA,"House","2017-12-07"
"2017","Mr"," AGUILAR",NA,"House","2017-01-12"
"2017","Mr"," AGUILAR",NA,"House","2017-01-31"
"2017","Mr"," AGUILAR",NA,"House","2017-03-17"
"2017","Mr"," AGUILAR",NA,"House","2017-05-18"
