Name,Last_Name,State,Party,Chamber,Years Served
"Abraham, Ralph Lee ",Abraham,Louisiana,Republican,House,2015-2021
"Adams, Alma S. ",Adams,North Carolina,Democratic,House,2014-Present
"Aderholt, Robert B. ",Aderholt,Alabama,Republican,House,1997-Present
"Aguilar, Pete ",Aguilar,California,Democratic,House,2015-Present
"Alexander, Lamar ",Alexander,Tennessee,Republican,Senate,2003-2021
"Alford, Mark ",Alford,Missouri,Republican,House,2023-Present
"Allen, Rick W. ",Allen,Georgia,Republican,House,2015-Present
"Allred, Colin Z. ",Allred,Texas,Democratic,House,2019-Present
"Amash, Justin ",Amash,Michigan,Libertarian,House,2011-2021
"Amo, Gabe ",Amo,Rhode Island,Democratic,House,2023-Present
"Amodei, Mark E. ",Amodei,Nevada,Republican,House,2011-Present
"Armstrong, Kelly ",Armstrong,North Dakota,Republican,House,2019-Present
"Arrington, Jodey C. ",Arrington,Texas,Republican,House,2017-Present
"Ashford, Brad ",Ashford,Nebraska,Democratic,House,2015-2017
"Auchincloss, Jake ",Auchincloss,Massachusetts,Democratic,House,2021-Present
"Axne, Cynthia ",Axne,Iowa,Democratic,House,2019-2023
"Ayotte, Kelly ",Ayotte,New Hampshire,Republican,Senate,2011-2017
"Babin, Brian ",Babin,Texas,Republican,House,2015-Present
"Bacon, Don ",Bacon,Nebraska,Republican,House,2017-Present
"Baird, James R. ",Baird,Indiana,Republican,House,2019-Present
"Balderson, Troy ",Balderson,Ohio,Republican,House,2018-Present
"Baldwin, Tammy ",Baldwin,Wisconsin,Democratic,Senate,2013-Present
"Balint, Becca ",Balint,Vermont,Democratic,House,2023-Present
"Banks, Jim ",Banks,Indiana,Republican,House,2017-Present
"Barletta, Lou ",Barletta,Pennsylvania,Republican,House,2011-2019
"Barr, Andy ",Barr,Kentucky,Republican,House,2013-Present
"Barragán, Nanette Diaz ",Barragán,California,Democratic,House,2017-Present
"Barrasso, John ",Barrasso,Wyoming,Republican,Senate,2007-Present
"Barton, Joe ",Barton,Texas,Republican,House,1985-2019
"Bass, Karen ",Bass,California,Democratic,House,2011-2022
"Bean, Aaron ",Bean,Florida,Republican,House,2023-Present
"Beatty, Joyce ",Beatty,Ohio,Democratic,House,2013-Present
"Becerra, Xavier ",Becerra,California,Democratic,House,1993-2017
"Benishek, Dan ",Benishek,Michigan,Republican,House,2011-2017
"Bennet, Michael F. ",Bennet,Colorado,Democratic,Senate,2009-Present
"Bentz, Cliff ",Bentz,Oregon,Republican,House,2021-Present
"Bera, Ami ",Bera,California,Democratic,House,2013-Present
"Bergman, Jack ",Bergman,Michigan,Republican,House,2017-Present
"Beyer, Donald S. ",Beyer,Virginia,Democratic,House,2015-Present
"Bice, Stephanie I. ",Bice,Oklahoma,Republican,House,2021-Present
"Biggs, Andy ",Biggs,Arizona,Republican,House,2017-Present
"Bilirakis, Gus M. ",Bilirakis,Florida,Republican,House,2007-Present
"Bishop, Dan ",Bishop,North Carolina,Republican,House,2019-Present
"Bishop, Mike ",Bishop,Michigan,Republican,House,2015-2019
"Bishop, Rob ",Bishop,Utah,Republican,House,2003-2021
"Bishop, Sanford D. ",Bishop,Georgia,Democratic,House,1993-Present
"Black, Diane ",Black,Tennessee,Republican,House,2011-2019
"Blackburn, Marsha ",Blackburn,Tennessee,Republican,Senate,2019-Present
"Blum, Rod ",Blum,Iowa,Republican,House,2015-2019
"Blumenauer, Earl ",Blumenauer,Oregon,Democratic,House,1995-Present
"Blumenthal, Richard ",Blumenthal,Connecticut,Democratic,Senate,2011-Present
"Blunt Rochester, Lisa ",Blunt Rochester,Delaware,Democratic,House,2017-Present
