"name","part","text","where","date","date_pretty"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH-FrontMatter.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3747]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]


             H O U S E  O F  R E P R E S E N T A T I V E S


Vol. 168


WASHINGTON, WEDNESDAY, MARCH 16, 2022

No. 47


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3747.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3747]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

[[Page H3747]]

House of Representatives

  The House met at 10 a.m. and was called to order by the Speaker pro 
tempore (Ms. Underwood).

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3747-2.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3747]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                   DESIGNATION OF SPEAKER PRO TEMPORE

  The SPEAKER pro tempore laid before the House the following 
communication from the Speaker:

                                               Washington, DC,

                                                   March 16, 2022.
       I hereby appoint the Honorable Lauren Underwood to act as 
     Speaker pro tempore on this day.
                                                     Nancy Pelosi,
     Speaker of the House of Representatives.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3747-3.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3747]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                        MESSAGE FROM THE SENATE

  A message from the Senate by Ms. Byrd, one of its clerks, announced 
that the Senate has passed a bill of the following title in which the 
concurrence of the House is requested:

       S. 623. An act to make daylight saving time permanent, and 
     for other purposes.

  The message also announced that pursuant to Public Law 117-81, the 
Chair, on behalf of the Ranking Member of the Senate Committee on Armed 
Services, appoints the following individuals to serve as members of the 
Congressional Commission on the Strategic Posture of the United States:

       The Honorable Jon Kyl of Arizona.
       The Honorable Lisa Gordon-Hagerty of Florida.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3747-4.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3747]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                          MORNING-HOUR DEBATE

  The SPEAKER pro tempore. Pursuant to the order of the House of 
January 10, 2022, the Chair will now recognize Members from lists 
submitted by the majority and minority leaders for morning-hour debate.
  The Chair will alternate recognition between the parties, with time 
equally allocated between the parties and each Member other than the 
majority and minority leaders and the minority whip limited to 5 
minutes, but in no event shall debate continue beyond 11:50 a.m.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3747-5.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Pages H3747-H3748]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




               HONORING THE MEMORY OF STEVEN SPICKELMIER

  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Florida (Mr. Rutherford) for 5 minutes.
  Mr. RUTHERFORD. Madam Speaker, I rise today in honor of the memory of 
Steven Spickelmier who passed away at the age of 77 after a long battle 
with COVID-19.
  Steve was a U.S. Navy and Air National Guard veteran, retiring as a 
master sergeant after 26 years of military service. His unmatched 
energy and positive impact on servicemen, veterans, and their families 
throughout northeast Florida displayed his incredible servant's heart.
  Among Steve's many local roles, he served as chairman of the Veterans 
Council of Duval County and chairman of the Support Committee at 
Jacksonville National Cemetery, Madam Speaker, where he championed the 
annual Wreaths Across America program and the Memorial Day service. He 
was president of the Air Force Sergeants Association, Chapter 559, and 
field operations director for Florida's Missing in America project.
  Steve attended Mandarin United Methodist Church and, among many other 
roles, he served as a church van driver for residents of a nearby 
retirement home to ensure all could worship together each Sunday.
  On behalf of the Fourth Congressional District of Florida, I offer 
condolences to all who knew and loved Steve, especially his wife 
Glenda, the love of his life, for over 33 years.


Congratulating Mr. Charles Darwin Magdaluyo, Duval County's Teacher of 
                                the Year

  Mr. RUTHERFORD. Madam Speaker, I rise today to congratulate Mr. 
Charles Darwin Magdaluyo for being named Duval County's Teacher of the 
Year. Charles received this honor for his work teaching ninth and 
twelfth grade human anatomy and physiology at Jean Ribault High School.
  Serving as a teacher for 7 years, Mr. Magdaluyo is dedicated to 
helping students understand and succeed, even in difficult 
circumstances. Charles works with students to overcome the challenges 
and struggles they face, helping them to grow as individuals and 
develop skills that will help them long after they graduate.
  On behalf of the Fourth Congressional District of Florida, I thank 
Charles for his dedication to educating the students of northeast 
Florida and for his commitment to the success of his students and peers 
alike.


  Congratulating Ms. Shelby Goodwin, Nassau County Teacher of the Year

  Mr. RUTHERFORD. Madam Speaker, I rise today to congratulate Ms. 
Shelby Goodwin for being named Nassau County Teacher of the Year. Ms. 
Goodwin received this honor for her work teaching AP language and AP 
literature at Yulee High School.
  Serving as a teacher for 6 years, Ms. Goodwin aims to help students 
learn lifelong lessons through an engaging classroom experience. Ms. 
Goodwin supports her students' development by working with them in 
class, coaching them in athletics, sponsoring student clubs, and co-
directing a musical theater production.
  On behalf of the Fourth Congressional District of Florida, I thank 
Ms. Goodwin for her dedication to educating the students of northeast 
Florida and for her commitment to the success of her students and peers 
alike.

[[Page H3748]]

  

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3748.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3748]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]





                           PLANES FOR UKRAINE

  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Texas (Mr. Green) for 5 minutes.
  Mr. GREEN of Texas. Madam Speaker, and still I rise. And I rise today 
with a very simple message: Those who believe that if we leave the 
world alone, the world will leave us alone are entirely wrong.
  Madam Speaker, the world would find its way to our door as it has 
done so now with Ukraine.
  I had the honor of hearing the President of Ukraine speak this 
morning, and if there is something I came away with without question it 
is this: It is that this war is about more than Ukraine. It is about 
freedom-loving people wherever they may be. It is about people who will 
not tolerate seeing women and babies being killed live on television. 
It is about a belief that if you can do something to end an injustice, 
you have to do it.
  This is why I rise today to say, Madam Speaker, that if there is a 
vote for planes for Ukraine, I will vote to support planes for Ukraine. 
And I will do so because I believe that this is needed for their 
defense.
  While some would say: But the defense currently would not be planes 
because they don't have to fight planes--that they are using long-range 
projectiles to bomb Ukraine--my point is this: Let's not wait until the 
skies over Ukraine have been darkened with Russian planes before we 
send the help that they need.

  I don't mind the world knowing that we are part of this. I don't 
think we can allow a standard to be set such that in the future the 
precedent is if you send in planes you are escalating. I think if we 
send in planes, we are meeting the challenge that is necessary to 
defend Ukraine.
  Again, those who believe that if we leave the world alone it will 
leave us alone are entirely wrong. This is about liberty and justice 
for all; government of the people, by the people, and for the people of 
Ukraine and the rest of us as well. This is about freedom-loving people 
wherever they may be.
  If there is a vote for planes, then I will vote for planes for 
Ukraine.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3748-2.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3748]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                              THE ECONOMY

  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Virginia (Mr. Cline) for 5 minutes.
  Mr. CLINE. Madam Speaker, when I travel around the Sixth 
Congressional District of Virginia, folks regularly share their 
struggles with me in the face of President Biden's inflation crisis, 
economic crisis, and energy crisis.
  They tell me that their hearts sink when they check out at the 
grocery store and see the price on the screen tick well past what they 
used to pay to feed their families. They tell me they dread going to 
the gas station because every time they drive by, they see prices 
getting higher and higher. They pray their car doesn't break down 
because they can't afford to fix it or replace it given the rise in the 
cost of car parts.
  They worry about their kids hitting a growth spurt because new 
clothes are just getting too expensive. And they tell me the 
disappointment they felt when they let their kids know that the 
vacation they had been looking forward to had to be canceled or scaled 
back because the rising cost of flying and lodging made it nearly 
impossible.
  Madam Speaker, folks in rural parts of this country are struggling, 
and 40-year high inflation rates serve as a tax on all Americans. It is 
unacceptable that the soaring price of goods cost the average family 
$3,500 last year.
  If Members of Congress truly want to provide relief to their 
constituents, then they must rein in spending and cut taxes to get our 
country's economy back on track.


                         Cave Spring Basketball

  Mr. CLINE. Madam Speaker, I rise today to honor the Cave Spring High 
School boys' basketball team from Roanoke, Virginia, for winning this 
year's class 3 State championship. Following a near perfect season, the 
Cave Spring Knights were crowned sole State champions this year after 
being named co-winners with Lakeland in 2020 due to the COVID pandemic.
  From the moment last week's final tipped off against the Petersburg 
Crimson Wave, it was a great showing from both teams.
  After an impressive second-half comeback by Petersburg, Cave Spring 
was down by 2 with only 1 minute and 45 seconds left on the clock. A 
quick Knight's basket tied the game, and the Crimson Wave took 
possession as the seconds passed by. But a timely steal by Cave 
Spring's senior guard, Owyn Dawyot, gave the Knights one last chance.
  As Dawyot headed toward the basket, he was fouled sending him to the 
free-throw line with just 3 seconds left. After missing the first shot, 
the pressure was on, but he kept his cool and made the second shot for 
the final score of the game.
  The Knights prevailed, winning 76-75, marking the program's fifth 
State title and the second under Coach Jacob Gruse.
  Congratulations to Cave Spring on this hard-fought win. It was well-
earned.


        Recognizing Virginia's Lieutenant Governor Winsome Sears

  Mr. CLINE. Madam Speaker, as we celebrate Women's History Month, we 
recognize the list of women who have contributed to moving the United 
States forward over the past 244 years.
  I rise today to recognize one trailblazer in particular, Virginia's 
current Lieutenant Governor, Winsome Sears. Born in Kingston, Jamaica, 
Lieutenant Governor Sears moved to the United States at the age of 6 
and has since dedicated her life to serving others and her country.
  Outside of politics, she ran a homeless shelter, provided ministry to 
prisoners, and spent 3 years wearing our Nation's uniform in the Marine 
Corps. It was also an honor to serve with Lieutenant Governor Sears in 
the Virginia House of Delegates.
  Since entering public office, Lieutenant Governor Sears has served as 
a Presidential appointee to the United States Census Bureau, as a 
distinguished member of the Advisory Committee on Women Veterans to the 
United States Secretary of Veterans Affairs, as the vice president of 
the Virginia State Board of Education, and, as I mentioned, as a 
delegate in the Virginia General Assembly.
  Upon her swearing-in on January 15 of this year, she became the first 
female veteran to serve as Lieutenant Governor of Virginia and the 
first Black woman to hold statewide office in the Commonwealth.
  We applaud the Lieutenant Governor's lifelong accomplishments and 
thank her for her service to her community, her Commonwealth, and her 
country.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3748-3.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Pages H3748-H3749]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                          HONORING ROSA LUCAS

  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
California (Mr. Ruiz) for 5 minutes.
  Mr. RUIZ. Madam Speaker, I rise today to honor a local leader in 
public health, an exceptional community advocate, my constituent, and 
my friend, Rosa Lucas.
  I first met Rosa during my freshman year at UCLA in 1991 while I was 
working at a farmworker health clinic. Ever since, I have admired her 
integrity, humility, selflessness, and passion for justice.
  Rosa's story begins in Los Angeles, California, December 7, 1945. She 
spent her childhood in Beverly Hills before studying at UCLA-Berkeley 
and UCLA. In 1968, she graduated UCLA with her bachelor's in Spanish 
languages and literature. Shortly after, Rosa launched her career as a 
charge nurse of neurosurgical intensive care at the UCLA Health 
Sciences Center, eventually leading her to become a certified nurse 
practitioner in 1975.
  Ten years later, she settled in our desert and began her work in the 
Coachella Valley.
  Throughout her career, Rosa has worked to serve the poor, the 
marginalized, and the underserved. She has provided care to those most 
in need at rural and farmworker clinics like El Progreso del Desierto, 
Santa Rosa Del Valle Medical Group, Desert Hot Springs Arthritis and 
Medical Clinic, and the Borrego Springs Community Health Foundation. 
Now she works for Eisenhower Health Urgent Care Centers.
  Rosa truly embodies what it means to think globally and act locally. 
She has devoted her life to addressing health disparities in our valley 
and has made it her goal to expand access to healthcare for our most 
vulnerable.

[[Page H3749]]

  As a physician, I have seen her dedication to this mission firsthand. 
In the summer of 1996 during a summer fellowship as a medical student, 
Rosa taught me the well-child exam. I will never forget her passion to 
care for at-risk newborns, and I knew then that she would be a great 
partner in the fight for health and social justice.
  Sure enough, in 2007 when I returned home from medical school, we saw 
patients together and provided free medical care to the poorest 
farmworker communities with the Flying Doctors.
  Together, we joined the founding board of directors for a new 
nonprofit called Coachella Valley Volunteers in Medicine which is the 
only free clinic in the Coachella Valley that provides free healthcare 
to the medically underserved. In fact, we started the street medicine 
program and launched that in order to take care to the people and to 
the homeless under bridges, at the parks, and in the homeless camps. 
Wherever they find themselves, we took care to them, and she still does 
that.

                              {time}  1015

  In fact, Volunteers in Medicine was the first in the valley to 
implement the street medicine model during the pandemic. We took tests 
directly to our most vulnerable populations, including farmworkers and 
the homeless. This model later grew into a collaborative approach to 
vaccinating at-risk populations at work sites, schools, churches, and 
local trailer parks.
  On top of that, Rosa feeds the hungry. She battled food insecurity 
throughout the pandemic, partnering with local organizations to 
coordinate food delivery for the hungry and the food insecure, 
partnering with local promotora organizations.
  Rosa's compassion and incredible service have touched every corner of 
our communities. She has transformed care delivery in our desert and 
opened doors for many.
  As a member of the clinical faculty at CSU San Bernardino, Palm 
Desert, and the UCR School of Medicine, Rosa has helped shape a new 
generation of healthcare providers. She has inspired our communities' 
young people on the advisory boards for the Head Start programs at 
Desert Sands Unified School District and Coachella Valley Unified 
School District.
  For her outstanding service, Rosa has received numerous accolades, 
including the 2019 Senior Inspiration Award from Riverside County, and 
most recently, the 2021 Hometown Heroes Award from the city of 
Coachella.
  Rosa is relentless in her advocacy and never takes no for an answer 
when advocating for the medically underserved and her patients.
  Rosa has been an incredible adviser to me and has had a profound 
impact on the entire Coachella Valley. In fact, I respect Rosa because 
she delivers. She delivers her heart, she delivers her mind, and she 
delivers food. She delivers tests, she delivers vaccines, and she 
delivers healthcare with every inch of her soul and body. Rosa delivers 
herself for the people.
  We are all indebted to Rosa because she is the person who has led the 
charge for so many years and has been a consistent voice. When there 
was none, there was Rosa. When there was none, she provided care and 
delivery.
  On behalf of California's 36th Congressional District, I thank Rosa 
for her incredible service. I am so privileged to have her in my life, 
and I am honored to call her a friend.

                          ____________________


","House","2022-03-16","March 16, 2022"
"relatedItem.location.url","https://www.govinfo.gov/content/pkg/CREC-2022-03-16/html/CREC-2022-03-16-pt1-PgH3749.htm","Congressional Record, Volume 168 Issue 47 (Wednesday, March 16, 2022)[Congressional Record Volume 168, Number 47 (Wednesday, March 16, 2022)]
[House]
[Page H3749]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                 HOLDING FEDERAL EMPLOYEES ACCOUNTABLE

  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Georgia (Mr. Hice) for 5 minutes.
  Mr. HICE of Georgia. Madam Speaker, I rise today on behalf of the 
American taxpayer to clarify that the Federal workforce exists to serve 
them, not the other way around.
  During the COVID pandemic, Americans faced uncertainties as 
businesses literally struggled to survive. While these Americans 
wondered whether or not they would receive the next paycheck, there was 
one group, Federal employees, who did not face these type of concerns. 
To the contrary, since President Biden took office, there has been a 
nonstop effort to ensure that Federal workers are treated like a 
protected, privileged class.
  Democrats like to talk about the need to rehabilitate Federal workers 
after the Trump administration's so-called war on civil servants. That 
is absolutely ridiculous. The Democrats' road to recovery apparently 
includes shielding government workers, workers whose positions exist to 
serve the American people. The Democrats want to shield government 
workers from accountability; from any concern of discipline; from the 
obligation to actually perform the duties that they were hired to do; 
and from their duty to serve the elected Representatives of the people.
  But guess what? Despite the claims of trauma during the Trump 
administration, Federal workers were happier during his time in office. 
Why? Simply because the Federal workers were held accountable.
  Let's face it: No one likes working in a situation where you can't do 
anything about poor performers, where you can't do anything regarding 
people who simply refuse to actually do their jobs. The consequences of 
that type of environment is that the actual conscientious workers have 
to pick up the slack, which only adds to their own workloads and 
creates an extremely toxic work environment.
  Nevertheless, Democrats want to continue the false narrative of an 
abused Federal workforce. They want to curry favor with the core union 
constituency by looking for as many ways as possible to increase pay 
and benefits, all under the name of making the Federal Government a 
model employer.
  But model employers hold their workforce accountable. Model employers 
put the customer first. In this case, that is the American taxpayer. We 
don't hear any of this from the Democrats, but you do from the 
Republicans.
  Today, along with a number of my Republican colleagues, I am 
introducing the Accountable Federal Employees Act, which codifies a 
suite of executive orders that President Trump issued, but, 
unfortunately, President Biden has repealed.
  This bill includes a number of commonsense provisions, such as making 
sure Federal employees actually do their jobs rather than spend time on 
union activities. It makes sure that poor performers are held 
accountable. That is something even Federal employees say is sorely 
lacking in the workplace. It creates a process to ensure collective 
bargaining agreements are negotiated in a timely manner and in a way 
that looks out for the best interests of the American taxpayer. It 
makes sure that Federal employees in policy-making roles actually work 
to help implement the policies of the people who were actually elected 
to office.
  This bill represents a platform of sanity and fairness in civil 
service policy and in the workforce of the Federal Government. Frankly, 
any serious effort to modernize the Federal workforce has to start with 
ensuring the best possible level of service for the American people. 
That is what this bill does. I urge my colleagues to join me in this 
effort.

                          ____________________


","House","2022-03-16","March 16, 2022"
